Source,Target,weight
Karl Otto Pöhl,Jacques de Larosière,6
Mariano Rubio,Jacques de Larosière,1
Maurice F. Doyle,Jacques de Larosière,2
Miguel Boyer,Jacques de Larosière,1
Niels Thygesen,Jacques de Larosière,3
Pierre Jaans,Jacques de Larosière,2
Robin Leigh-Pemberton,Jacques de Larosière,3
Wim Duisenberg,Jacques de Larosière,6
?,Jean Godeaux,0
Alexandre Lamfalussy,Jean Godeaux,1
Carlo Azeglio Ciampi,Jean Godeaux,0
Demetrios Chalikias,Jean Godeaux,0
Erik Hoffmeyer,Jean Godeaux,1
Frans Andriessen,Jean Godeaux,0
Jacques Delors,Jean Godeaux,2
Jacques de Larosière,Jean Godeaux,1
Jean Godeaux,Jean Godeaux,0
José Alberto Tavares Moreira,Jean Godeaux,0
Karl Otto Pöhl,Jean Godeaux,1
Mariano Rubio,Jean Godeaux,2
Maurice F. Doyle,Jean Godeaux,1
Miguel Boyer,Jean Godeaux,0
Niels Thygesen,Jean Godeaux,0
Pierre Jaans,Jean Godeaux,0
Robin Leigh-Pemberton,Jean Godeaux,1
Wim Duisenberg,Jean Godeaux,0
?,José Alberto Tavares Moreira,0
Alexandre Lamfalussy,José Alberto Tavares Moreira,0
Carlo Azeglio Ciampi,José Alberto Tavares Moreira,0
Demetrios Chalikias,José Alberto Tavares Moreira,0
Erik Hoffmeyer,José Alberto Tavares Moreira,0
Frans Andriessen,José Alberto Tavares Moreira,0
Jacques Delors,José Alberto Tavares Moreira,0
Jacques de Larosière,José Alberto Tavares Moreira,0
Jean Godeaux,José Alberto Tavares Moreira,0
José Alberto Tavares Moreira,José Alberto Tavares Moreira,0
Karl Otto Pöhl,José Alberto Tavares Moreira,0
Mariano Rubio,José Alberto Tavares Moreira,0
Maurice F. Doyle,José Alberto Tavares Moreira,0
Miguel Boyer,José Alberto Tavares Moreira,0
Niels Thygesen,José Alberto Tavares Moreira,0
Pierre Jaans,José Alberto Tavares Moreira,0
Robin Leigh-Pemberton,José Alberto Tavares Moreira,0
Wim Duisenberg,José Alberto Tavares Moreira,0
?,Karl Otto Pöhl,0
Alexandre Lamfalussy,Karl Otto Pöhl,1
Carlo Azeglio Ciampi,Karl Otto Pöhl,0
Demetrios Chalikias,Karl Otto Pöhl,0
Erik Hoffmeyer,Karl Otto Pöhl,1
Frans Andriessen,Karl Otto Pöhl,1
Jacques Delors,Karl Otto Pöhl,12
Jacques de Larosière,Karl Otto Pöhl,8
Jean Godeaux,Karl Otto Pöhl,1
José Alberto Tavares Moreira,Karl Otto Pöhl,0
Karl Otto Pöhl,Karl Otto Pöhl,1
Mariano Rubio,Karl Otto Pöhl,0
Maurice F. Doyle,Karl Otto Pöhl,4
Miguel Boyer,Karl Otto Pöhl,2
Niels Thygesen,Karl Otto Pöhl,1
Pierre Jaans,Karl Otto Pöhl,1
Robin Leigh-Pemberton,Karl Otto Pöhl,3
Wim Duisenberg,Karl Otto Pöhl,3
?,Mariano Rubio,0
Alexandre Lamfalussy,Mariano Rubio,0
Carlo Azeglio Ciampi,Mariano Rubio,0
Demetrios Chalikias,Mariano Rubio,0
Erik Hoffmeyer,Mariano Rubio,0
Frans Andriessen,Mariano Rubio,0
Jacques Delors,Mariano Rubio,1
Jacques de Larosière,Mariano Rubio,1
Jean Godeaux,Mariano Rubio,0
José Alberto Tavares Moreira,Mariano Rubio,0
Karl Otto Pöhl,Mariano Rubio,3
Mariano Rubio,Mariano Rubio,0
Maurice F. Doyle,Mariano Rubio,0
Miguel Boyer,Mariano Rubio,0
Niels Thygesen,Mariano Rubio,0
Pierre Jaans,Mariano Rubio,0
Robin Leigh-Pemberton,Mariano Rubio,0
Wim Duisenberg,Mariano Rubio,0
?,Maurice F. Doyle,0
Alexandre Lamfalussy,Maurice F. Doyle,0
Carlo Azeglio Ciampi,Maurice F. Doyle,0
Demetrios Chalikias,Maurice F. Doyle,0
Erik Hoffmeyer,Maurice F. Doyle,0
Frans Andriessen,Maurice F. Doyle,1
Jacques Delors,Maurice F. Doyle,5
Jacques de Larosière,Maurice F. Doyle,1
Jean Godeaux,Maurice F. Doyle,0
José Alberto Tavares Moreira,Maurice F. Doyle,2
Karl Otto Pöhl,Maurice F. Doyle,1
Mariano Rubio,Maurice F. Doyle,0
Maurice F. Doyle,Maurice F. Doyle,0
Miguel Boyer,Maurice F. Doyle,3
Niels Thygesen,Maurice F. Doyle,1
Pierre Jaans,Maurice F. Doyle,0
Robin Leigh-Pemberton,Maurice F. Doyle,1
Wim Duisenberg,Maurice F. Doyle,1
?,Miguel Boyer,0
Alexandre Lamfalussy,Miguel Boyer,0
Carlo Azeglio Ciampi,Miguel Boyer,2
Demetrios Chalikias,Miguel Boyer,0
Erik Hoffmeyer,Miguel Boyer,0
Frans Andriessen,Miguel Boyer,0
Jacques Delors,Miguel Boyer,3
Jacques de Larosière,Miguel Boyer,3
Jean Godeaux,Miguel Boyer,0
José Alberto Tavares Moreira,Miguel Boyer,0
Karl Otto Pöhl,Miguel Boyer,2
Mariano Rubio,Miguel Boyer,0
Maurice F. Doyle,Miguel Boyer,1
Miguel Boyer,Miguel Boyer,0
Niels Thygesen,Miguel Boyer,0
Pierre Jaans,Miguel Boyer,0
Robin Leigh-Pemberton,Miguel Boyer,1
Wim Duisenberg,Miguel Boyer,1
?,Niels Thygesen,0
Alexandre Lamfalussy,Niels Thygesen,0
Carlo Azeglio Ciampi,Niels Thygesen,0
Demetrios Chalikias,Niels Thygesen,0
Erik Hoffmeyer,Niels Thygesen,1
Frans Andriessen,Niels Thygesen,0
Jacques Delors,Niels Thygesen,3
Jacques de Larosière,Niels Thygesen,2
Jean Godeaux,Niels Thygesen,1
José Alberto Tavares Moreira,Niels Thygesen,0
Karl Otto Pöhl,Niels Thygesen,3
Mariano Rubio,Niels Thygesen,0
Maurice F. Doyle,Niels Thygesen,1
Miguel Boyer,Niels Thygesen,1
Niels Thygesen,Niels Thygesen,0
